  NTPC Limited ,NTPC
Vel Tech Multi Tech Dr.Rangarajan Dr.Sakunthala Engineering College,Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College
Vishnu Prakash R. Punglia,vishnu prakash r punglia
V S international,HVS International
Y.K. Almoayyed & Sons,Y K Almoayyed & Sons
Zf Windpower Coimbatore,Zf Wind Power
Escalations Travelware india(P)ltd.,Escalations Travelware
Union paper mill Dubai,union paper mills
Devesh foods and agro Pvt ltd,Devesh Foods Agro Products
suprajit engg.ltd,Suprajit Engineering Ltd
Umicore Autocat India Pvt.Ltd,Umicore
VRS Foods Ltd PARAS,VRS Foods Limited
"TELAVIV UNIVERSITY,TELAVIV- ISRAEL",Tel Aviv University
travel food service  int. airport Mumbai,Travel Food Services
Metro tyre ltd,Metro Tyres
wonder brands pvt.ltd,wonderbrands
RSB System Pvt Ltd,RSB Systems Pvt. Ltd.
yazaki ind. pvt ltd. pune,Yazaki
CIMECHEL ELECTRIC COMPANY,Cimechel Electric Co.
Capital automotive pvt.ltd,capital automotives
Gammon Transrail Lighting Ltd,transrail lighting
"sobha engineering,dubai",Sobha Engineering Contracting Llc
DIAMONDFOOTCARE PVT.LTD.,Diamond Footcare Udyog
HCL Technologies Services,HCL Technologies
itc distributer,ITC
Bausch ,Bausch & Lomb
POWE RMECH PROJECT LIMITED,Power Mech Projects
Eros Labs (House of God) - Eros Group e commerce,Eros Labs
Abhyudaya Co-op Bank Lkmited,abhyudaya co-operative bank ltd
Evolve technology,Evolve Technologies & Services
Micromax Informatics Distributor Payroll,Micromax Informatics
Carrefour Global Sourcing Asia,Carrefour
CARGOTEC CHS ASIA PACIFIC PTE LTD,Cargotec
"Narayani Group,Bangalore - 560048",Narayani Group
Bhilai Engg. Corporation Ltd.,Bhilai Engineering Corporation
THINK AND LEARN PVT LTD (BYJU'S),Think & Learn
Qatar Kentz ,Qatar Kentz WLL
Dymos Lear automotive india pvt Lmt Hyundai groups,Dymos Lear Automotive
"Maya digital studio ,Film city Goregaon",Maya Digital Studios
Bees synergy system pvt ltd,Bees Synergy Systems
Narmada drinks p ltd,Narmada Drinks
HDFC Bank Pathankot,HDFC Bank
Telenor India communications Pvt.ltd,Telenor
jay shree chemical ,Jayshree Chemicals Ltd.
Galfar Engineering and Contracting SAOG  sultanate of Oman,Galfar Engineering & Contracting SAOG
ISGN Solutions - A Firstsource Limited Company,ISGN Solutions
Louis Berger Group Inc,The Louis Berger Group
"Micro Labs ltd, Banglore",Micro Labs
Avon meters pvt ltd Dera bassi punjab,Avon Meters Pvt. Ltd.
YOU BROADBAND IND LTD,You broadband
Sun Pharmaceutical Lab Ltd,Sun Pharmaceutical Industries
General Electricals India Pvt. Ltd. Chakan.,General electric Company
APPRENTICESHIP TRAINING,Tata Motors
SKS ispat and power limited,SKS Ispat & Power
CITIZENS HOSPITALS,Citizens Hospital
starcon infra project pvt.ltd.side (dlf),Starcon Infra Projects
Sai Kalyan Builders & Developers Pvt Ltd,Sai Kalyan Builders
GRENIER PACKKAGING INDIA PVT LTD,Greiner Packaging
Mathersan Sumi System Ltd,Motherson Sumi Systems
Juhu Resorts ,Juhu Resorts & Development
suprajit.enng ltd,Suprajit Engineering Ltd
Opender thakur,Global Hospitals
"The Leela Ambience Convention Hotel, Delhi",The Leela Ambience Convention
Factset Systems indian PVT LTD,Factset Research Systems
Larsen Tubro valves  ltd,Larsen & Toubro valves
Shipler packer and mover,Shipler Packers & Movers
BAJAJ ELECTRICALS LTD.,bajaj electricals
Arcelor Mittal,ArcelorMittal Group
UTTAMENERGY LTD. AURANGABAD,Uttam Energy Systems
Delhivery Private Limited,Delhivery
"Bechtel India Pvt. Ltd., Gurgaon",Bechtel Corporation
DSM Infocom pvt. ltd.,DSM Infocom
Bharat Electronics Ltd,Bharat Electronics
Ecoboard Industries Limited,Ecoboard Industries Ltd.
Mother Dairy Fruit Vegetable Ltd.,Mother Dairy Fruit & Vegetable Pvt. Ltd
ICICI BANK LTD,ICICI Bank
ROHTAS PROJECTS LTd,Rohtas Projects Ltd.
Bonn Nutrients Pvt.Ltd,Bonn
TAIKISHA ENGINEERING INDIA LIMITED,Taikisha Engineering India
cairn india ltd,Cairn
Hewlett Packard Enterprise.,Hewlett Packard Enterprise
Hewlett Packard Enterprise ,Hewlett Packard Enterprise
Eagle flask ind. ltd.,Eagle Flask Industries Ltd.
Finearc Systems Pvt. Ltd.,Finearc Systems
hcl tech,HCL Technologies
IFFCO International - Dubai,IFFCO
zn retail pvt ltd,zn retail
IFB Industries Ltd,IFB Industries
IVRCL LTD,IVRCL
BVG INDIA LTD.,BVG India
HDFC Bank Ltd (Retail Assets),HDFC Bank
Yatna Engineering Solutions Pvt Ltd,Yatna Engineering Solutions
JWC Logistics Pvt. Ltd.,JWC Logistics Park Pvt. Ltd.
Home Office Enterprise Pvt Ltd.,Home Office
Hafiz Construction Company,Hafiz Construction
benfranklin optical,Ben Franklin Opticians
IBM GTS labs,IBM
Armange Engineering and management consultants pvt. ltd. ,armenge engineering and managementconsultants
detox solutions,Detox Group
siddhi vinayak knots and prints pvt ltd,Siddhi Vinayak Knots & Prints
GlaxoSmithKline Consumer Private Limited and Development Centre,GlaxoSmithKline Consumer Healthcare
Indoco,Indoco Remedies
Bureau Veritas-Sievert Emirates Inspection LLC,Bureau Veritas
jockeyindia,Jockey
Syntel Int Pvt Ltd.,syntel international pvt ltd
Basice health survice,Basic Healthcare Products
Larsen and tubero llc oman,L&T
Sbs Enviro Aqua Concets Pvt. Ltd,sbsenviro aqua concepts
Home credit India financial pvt. Ltd. ,home credit india finance limited
JOHN DEERE TRACTOR PVT.LTD,John Deere
Population Services International  NGO,Population Services International (PSI)
Cargill Business Services India PVT. LDT.,Cargill Business Services
Mackeil Ispat ,Mackeil Ispat & Forging Ltd.
Strategic Alliance and Management Services Pvt Ltd,Strategic Alliance Management Services
Life Insurance Corporations of India,Life Insurance Corporation of India
TechBeats Solution,Techbeats Software
Intertek Architects Consultant (I) Pvt. Ltd.,Intertek Architects & Consultants Pvt. Ltd.
TUV Rheinland India Pvt. Ltd.,tuv rheinland india
Hissar Automobile ,Hissar Automobiles
Toshiba Transmission and Distribution Ltd.,Toshiba Transmission & Distribution Systems
Oman shapurji company LLC,oman shapoorji company llc
Karl Mayer India Pvt. Ltd,karl mayer india
Flowmore Ltd sahibabad,flowmore ltd
Durgesh pandey,Mumbai University
progressive tools and components Pvt Ltd gzb,Progressive Tools And Components pvt.ltd
dkt india contraceptivespcialmarketing,DKT INDIA
Consolidated Coin Co Pvt Limited,Consolidated Coin Company
MRF Tyres ltd,M R F TYRES
Pizza Hut pakistan,Pizza Hut
"National institute of Technology, Mizoram",National Institute of Technology
Disha Microfinance td,Disha Microfin
jockey distributors,Jockey
Liberty Videocon GIC Ltd,Liberty Videocon General Insurance
Mars internation pvt ltd,Mars International
rotopower p.l.company,roto power projects
CUSHMAN AND WAKEFIELD I. P. LTD.,Cushman & Wakefield
deepak fertiliser and petrochemicals ltd,Deepak Fertilisers and Petrochemicals Corporation
Fortis Escort heart institute okhla,Fortis Escorts Heart Institute
Moon Bevrages Ltd,moon beverages limited
BHEL RANIPUR HARIDWAR,BHEL
Finacus Solution Pvt Ltd,Finacus Solutions
M3M India Ltd.,M3M India Limited
Evolve Technologies and Services Pvt. Ltd.,Evolve Technologies & Services
Continental hospital,Continental Hospitals
Educomp  Soluation Ltd,Educomp Solutions
Preemier Engineering ,Premier Engineering Works
Payfront Technologies India Limited formerly the payroll business of Aon Hewitt,Payfront Technologies
Pragati Green Meadows and Resorts Ltd,Pragathi Greenmeadows Resorts
Xpressbees logistic  Pvt.  Ltd. ,XpressBees
Hutamaki -Ppl rudrapur,Huhtamaki PPL
Bharath infra exports and imports ltd,Bharath Infra Exports & Imports
F1 Info Solutions ,F1 Info Solutions Services
Concentrix Daksh India Pvt. Ltd,concentrix daksh services india pvt ltd
Barista Lavazza,Barista Coffee Company Limited
Technokart india ltd,techno kart india
ETHOS HVAC SYSTEM LTD.,Ethos Hvac Systems
Alfanar Construction Company (Power and Water),alfanar Construction
micro turner pantnagar -V,Micro Turners
bansal presision forge limited,Bansal Precision Forge
Special Purpose Machine India Ltd,Special Purpose Machines
Big Basket SGSPL,BigBasket
style bazar pvt ltd,Stylebaazar
Elder Pharmaceutical,Elder Pharmaceuticals
SRL Diagnostics. Haldwani,SRL Diagnostics
Filipkart.com,Flipkart
Central Institute Of Plastics Engineering ,Central Institute of Plastics Engineering & Technology
MITSHUBISHI ELECTRIC AUTOMOTIVE INDIA LTD,mitsubishi electric automotive india pvt. ltd
Endurance Tech. Ltd.,Endurance Technologies
NAHARS ENGENEERING IND.PVT.LTD.,nahar engineering
Procter ,Procter & Gamble
"Shriram City Union Finance, Bagalkot",Shriram City Union Finance
Banko Of America.,Bank of America
Bharat Heavy Electricals Limited BHEL,BHEL
Agarwal Packers ,Agarwal Packers & Movers
Vaishnavi Engineering Company,VAISHNAVI ENGINEERING
Stemmons Business Service Pvt. Ltd,Stemmons Business Services
Max lifestyle international pvt lmt,max lifestyle international pvt ltd
Powerweave Software Solution ltd,Powerweave software services
TATA Power Company Ltd,TATA Power
TCL India project,TCL India Holdings Pvt. Ltd.
Eicher Tractors   A unit of TAFE MOTORS AND TRACTORS LIMITED,eicher tractors
Ansal Properties ,Ansal Properties & Infrastructure
"Ashok Hospital, Dahisar",Ashok Hospital
THE NEW INDIA ASSU CO LTD,The New India Assurance Company
HCL technology Ltd ,HCL Technologies
ICICILOMBARD GEN INSURANCE COMPANY,ICICI Lombard General Insurance Company Limited
Simplex Infrastructure ltd.,Simplex Infrastructures
BINANI CEMENT LTD. SIROHI,Binani Cement
"Mylan labs ltd,indore",Mylan Laboratories Ltd
Epicenter technology,Epicenter Technologies
apollo hospital newdelhi,apollo hospitals enterprise
Larsen and toubro Power Transmission and Distribution,Larsen and Toubro Power
"Deejay distilleries pvt ltd,dahanu.",Deejay Distilleries
Sogefi mnr engine system India pvt Ltd ,Sogefi Group
Agfa Healthcare Ind Pvt LTD (Duarz HR Services),agfa healthcare india pvt. ltd
Highradius Technology Pvt.,highradius technologies
Cummins Technologies India Pvt. Ltd.,Cummins Technologies India Ltd
Laser telesystem pvt. ltd.,laser telesystems
Shree Balaji Buildmate Pvt Ltd.,shri balaji buildmate
Datwyler Pharma Packaging India Pvt. Ltd.,datwyler pharma packaging india
Shantha Biotechnics Ltd.A SANOFI COMPANY,shantha biotechnics ltd
bhuahan steel limited,Bhushan Steel
Neel metal products ltd JBM Group,Neel Metal Products
Travix Leisure and Travel Pvt Ltd,travix leisure & travel pvt ltd
"TATA Telesevices Ltd, Mumbai",Tata Teleservices
Marks and Spencer Reliance Pvt Ltd,Marks & Spencer
Fosroc Chemicals india Pvt.ltd.,Fosroc Chemicals India Pvt. Ltd
Tantra-Gyan Technologies PVT.LTD,Tantra-Gyan
Varun beverage Pvt. Ltd.,Varun Beverages
Weir BDK in hubli,Weir BDK Valves
HDB fainancal services ltd,HDB Financial Services
"Prima Preforms Closures Ltd, Ghana",prima preforms and closures ltd
Bharti axa general insurance company limited,Bharti AXA General Insurance
Smollan India Pvt. Ltd,Smollan Group
neo corp internetionel limited,Neo Corp International
Lakhvir khan,Nahar Group
GLENMARKPHARMACEUTICAL LTD,Glenmark Pharmaceuticals
Mark's & Spencer's Reliance India Pvt. Ltd.,Marks & Spencer
"ROKIMINDA CO. PVT. LTD.,VITHLAPUR,AHMADABAD,GUJRAT",roki minda co
"Unimark Remedis Limited, Vapi",Unimark Remedies
Bilt Graphic paper product Ltd. Unit Bhigwan Pune,Bilt Graphic Paper Products Ltd.
ISUZU Motor India Pvt Ltd.,Isuzu Motors
Cisco Systems Pvt Ltd  Payroll of  HTIS Telecom Pvt Ltd  client JIO.,Cisco Systems
Tata Communications transformation LTD,Tata Communications Transformation Services
BSA Carporation pvt Ltd,bsa corporation
Mahindra and Mahindra G3moters,Mahindra & Mahindra
VCS Quality Services ind Pvt Ltd,Vcs Quality Services
Petrofac Engineering and Construction,petrofac engineering india pvt. ltd
paladion Network private Limited,Paladion
Amdocs Development Center,Amdocs Development Centre India
HSIL Limited  Packing products division AGI Glaspac,HSIL
prateek group at Prateek Laurel,Prateek Group
SkipperSeil Ltd Bhiwadi Rajasthan,Skipperseil
TECHNOCRAFT IDUSTRIES INDIA LTD,Technocraft Industries
CitiusTech Healthcare Technology Pvt Ltd,CitiusTech
Huawei Technology,Huawei Technologies
venus remedies baddi,Venus Remedies
first food servcies LLC,First Food Services
"Sembcorp Marine Tuas Boulevard Yard - Sembcorp Marine Ltd, Singapore.",Sembcorp Marine
SYSKA LEd Light pvt ltd,SYSKA LED lights
working with Luminous group,Luminous
"St. Xaviers School, Haldia",St Xaviers School
TE Connectivity Ind Pvt. Ltd.,TE Connectivity
Salebuild ITES Pvt Ltd,salebuild ites pvt. ltd. dba salesify
Apollo Hospitals Enterprise Limited Unit: Apollo Pharmacy,apollo hospitals enterprise
L T Foods Ltd  Heritage (Dawath),LT Foods
VIDCONE ,Videocon
Jitesh Kumar,tenneco automotive
ADANI PORT AND SEZ LTD.,Adani Ports & SEZ Ltd.
MS Indo Toolings Pvt. Ltd,INDO TOOLING PVT. LTD.
NGK Spark Plug (I) Pvt. Ltd,NGK Spark Plugs
Ultratech Cement Ltd. Dhar Cement Works,UltraTech Cement
Gail india ltd under global s.s. cont. pvt.ltd,GAIL
Lamhas satellite service Ltd,Lamhas Satellite Services Ltd.
"SKF INDIA LTD.CHINCHWAD,PUNE",SKF
GHATGE PATIL TRANSPORT PVT LTD,Ghatge Patil Transports
the westin hotels,Westin Hotels & Resorts
Calsonic kensai motherson,calsonic kansei motherson auto products
Ramkrishna forgings ltd jamshedpur Jharkhan,Ramkrishna Forgings
Toyota kiralosakara motara,Toyota Kirloskar Motor
Honda motorcycles & scooter india pvt. ltd.,Honda Motorcycle & Scooter India
venkateshwara enterprise,Sri Venkateshwara Enterprises
HSIL Limited Packing product Division AGI Glaspac,HSIL
Podar world chool,Podar World School
"TECPRO SYSTEMS LTD, ASHTECH DIVISION",Tecpro Systems
Kentech International kuwait,Kentech International
Xerago E-Biz servics Pvt ltd,Xerago E-Biz Services
Indusind Media ,IndusInd Media and Communication
Force Tech Securities Pvt. Ltd,Force Tech Security
J Kumar Infraproject Ltd,J. Kumar Infraprojects
"Fortis Escort Hospital,Jaipur RJ",Fortis Escort Hospital
Brij Mohan Institute of Management ,Brij Mohan Institute of Management & Technology
Tata Motors PIMPRI,Tata Motors
scott edil ltd.,scott edil pharmacia ltd
VOGUESERV INTL PVT LTD BUYING HOUSE,Vogueserv
"SONA ELECTRICALS, Industrial Area, Govindpura, Bhopal (Manufactures of Instrument Transformers)",Sona Electricals
Himadri chemical ,Himadri Chemicals and Industries
"Seeds, XLRI Jamshedpur",XLRI
OTIS ELEVATOR COMANY INDIA LTD,Otis Elevator
Unicorn Infosolutions Pvt. Ltd.,unicorn infosolution
ANISH PROJECTS DEVELOPERS (I) PVT LTD,Anirudh Dental Care & Orthodontic Centre
BGR Energy Systems Limited,BGR Energy Systems
"Avit solutions, kolhapur",av it solutions
TUV India Pvt Ltd,Tuv
American Axles Manufacturing India pvt.Ltd.,American Axle & Manufacturing
credence resource management ,Credence Resource Management
Birlasoft ,Birlasoft
AVI Solar Pvt,avi solar energy
basix sub-k itrancation ltd.,Basix
Dandy qatar,Dandy Rolls
Alshaya Kuwait,alshaya group
Dhruva Consulting,Dheya Career Mentors
augur technologios,Augurs Technologies
ALOK TEXTILE,Alok Industries
A M N  Co,Amnet Systems Private
Court Complex ,Delhi District Court
ACCESS CONTROL SYSTEMS,Av T Access Control Systems
"anand group,mahle.",Mahle Filter Systems
Chandan Diagnostic Centre,Chandan Healthcare
Biological. E vaccines,Biological
CANATER ENGINEERS PVT LTD,Canter Engineers Pvt. Ltd.
chacha nehru bal chikitsalay,CHACHA NEHRU BAL CHIKITSALAYA
Bhaskari Electricals Systems Private Limited,Bhaskari Electrical Systems
Computer Software Solution International (CSSI),Computer Solutions & Software International
Akaashwaani (Indraprastha Channel ),All India Radio
AN Prakash CPMC PVT LTD,AN Prakash Construction Project Management Consultants
Anjalis studio,Anjalis Color Lab
DECAN ORGANIC FINE CHEMICALS PVT LTD,Deccan Fine Chemicals Pvt. Limited
aravalli college of engg and mgt,Aravali College of Engineering And Management
ARR Business Solution,sarr solutions
AFP Manufecturing company private company janakpuri,AFP Manufacturing Co. Pvt. Ltd.
Athena bpo,athena bpo/andromeda bpo
bluechip corporate investment center Ltd ,Bluechip Corporate Investment Centre Ltd.
"aryabhatta group of institutes,barnala",aryabhatta tutorials
Akrcl site enginner,Konkan Railway
BIAL airport,Bengaluru International Airport
chaitanya techno Tumkur high school teacher ,Sri Chaitanya Techno Schools
ak automatic (rohtak),A.K.AUTOMATICS
Arhan Microfinance pvt.Ltd,Arhan Technologies Pvt. Ltd.
Arebian Lojam,Arabian Lojam Group
Airtel digital TV ,Airtel DTH Services
bbmb,Bhakra Beas Management Board
D.f.i.t orgination,Damien Foundation India Trust
almaya,Al Maya Group
Brindavan Group of Institutions,Brindavan College of Engineering
Aiswarya Hygiene Services Pvt Ltd,Aiswarya
Central Government Service an autonomous Institution under the Ministry of Health  Family Welfare,"Ministry of Health & Family Welfare, Nirman Bhawan"
SOHAM SURFACE COATING PVT LTD,soham surface coatings
CHIRON BEHRINE VACCINE PVT LTD (GSK),chiron behring vaccines
Brahmshakti hospital and research centre Nw delhi,Brahm Shakti Hospital
JBM AUTO LTD SANAND.,JBM Auto Ltd
bharti axa life insurance compny,Bharti AXA Life Insurance
Cashlink global system pvt ltd,CashLink Global Systems
McCain food India Ltd,McCain Foods
"Aditya Brila Hospital,Pune",Aditya Birla Memorial Hospital
Asia Light Contracting Est,Gulf Asia Contracting
HUNDAI HEAVY INDUSTRIES CO LTD,hyundai heavy industries
Badva Aototack  Limited ,Badve Group
Amika technology and resource  pvt ltd,Amica Technology & Resources
Sundharam Finance Ltd,Sundaram Finance
Innovative Tyres and Tubes Ltd,Innovative Tyres & Tubes Ltd.
Galfar Engineering And Contractoring SOAG Sultanate Of Oman,Galfar Engineering & Contracting SAOG
Bajaj finn serv,Bajaj Finserv
Larsen  Toubro Limited ECC Division,L&T
RELIANCE JIO LTD,Reliance Jio Infocomm
Delhivery Logistics Pvt. Ltd,Delhivery
ITC Gardenia Bengaluru,ITC Gardenia
Convergys India service,Convergys
Arhan Technologies Pvt Ltd Powered by Miyakawa Kogyo India Pvt Ltd,Arhan Technologies Pvt. Ltd.
NIPPON KONPO INDIA PVT LTD established in HONDA CAR INDIA LTD,nippon konpo india pvt. ltd
NXP Semiconductors Ind Pvt Ltd.,NXP Semiconductors
Karsun India Pvt Ltd,Karsun solutions
CA FIRM Sharad k Agrawal and Associates,Ajay K Agrawal & Associates
Hsbc data processing ltd,HSBC Electronic Data Processing
Centum electronic Ltd,Centum Electronics
"JUPITER AQUA LINES LTD, JAL BATH CP FITTINGS",Jupiter Aqua Lines
Accenture Servie Pvt.Limited,Accenture
adani petronet port bahej,Adani Petronet (Dahej) Port Pvt. Ltd.
MUSASHI AUTO PART INDIA PVT. LTD. BAWAL HARAYANA,Musashi Auto Parts
Amra Raja Batteries Ltd. ,Amara Raja Batteries
Lumos LEDs,Lumos
Jindal India Thermal Powar Ltd. Payroll on Guidesol Info Salutation Pvt. Ltd.,Jindal India Thermal Power
Voith Industrial Services site JCB INDIA LTD jaipur,Voith Industrial Services
Volta Fashions P Ltd,Volta Fashions Pvt Ltd
al ayuni investment and cons.compamny,Al Ayuni Investment and Contacting
United Spirits Ltd.,United Spirits
Mahindra Sona Ltd.,Mahindra Sona Limited
EYE Q Vision Pvt Ltd.,Eye Q Vision
TVS Logistics Services Ltd.,TVS Logistics Services
Capgemini India Pvt. Ltd.,Capgemini
TVS CREDIT SERVICES LTD.,TVS Credit Services
Maxi Multi Services Pvt. Ltd.,maxi multiservices
Technogen India Pvt Ltd,TechnoGen
Meghmani Organics Ltd.,Meghmani Organics
Wysetek Systems Technologists Pvt. Ltd.,Wysetek Systems Technologists
Saint-Gobain I Pvt Ltd- Gyproc Business,Saint-Gobain
Nifco India Pvt. Ltd.,Nifco India
Hewlett-Packard AND ACCENTURE,Hewlett-Packard
united Arab Emirates Ltd,United Arab Emirates
US-Bangla Air Lines Ltd.,US-Bangla Airlines
Radix Electorsystems Pvt.Ltd.,Radix Electrosystems
DUCERE TECHNOLOGIES PVT LTD,Ducere Technologies
Vivo Smart Phone,Vivo Smartphone
"Veritas Software India pvt ltd., pune",veritas software technologies pvt ltd
"Eduquity Career Technologies pvt ltd., ",Eduquity Career Technologies
Oriental Structural Engineers Pvt. Ltd.,Oriental Structural Engineers Pvt
Hospira Health Care India pvt ltd- A Pfizer Company,Hospira Health Care
Innovis Telecom Service Pvt. Ltd,innovis telecom services pvt
e-shakti pvt Ltd .com,eShakti.com
RANJEETHA,banglore turf club  banglore
RK constraction,r k construction
SHRENIK ,Shrenik & Company
J.B.Chemicals & Pharmaceuticals Ltd.,j b chemicals and pharmaceuticals
Tredence Analytics,Tredence
The Fertilisers and Chemicals Travancore Ltd,Fertilisers and Chemicals Travancore
Habibs hair and beauty,jawed habib hair & beauty ltd
eInfochips solutions ltd,Einfochips
The Oasis Hotel - Baroda,Hotel Oasis
FLASH VIVEN MACHINING TECHNOLOGY PVT LTD PUNE,flash viven machining technologies
M.Krishnareddy,Daicel Chiral Technologies
syncomhealthcareltd,syncom healthcare ltd
pratap snacks ltd,Prataap Snacks
qd-sbg contruction,the classical palace - doha qatar
sechmecken agro food products,schmecken agro food product
JUSCO - Tata Steel subsidary,JUSCO
kinapse india scientific services ltd,Kinapse
"ISRL Joint Venture Of Indian Oil Corporation Limited, TSRC Taiwan and Marubeni Japan",Indian Synthetic Rubber
Kotak Old Mutual Life Insurance,Kotak Mahindra Old Mutual Life Insurance
"telugu , kannada tamil and hindi films iwas don 14 years experience 35 movies Sefl employ , before z",Prasad Film Lab
Raptakos Brett ,Raptakos Brett and Company
Kharafi National LLC - Abu Dhabi,Kharafi National
JVL OIL REFINERY,JVL Oil Refinary
GAYATRI SHAKTI PAPER BOARD LIMITED VAPI,Gayatrishakti Paper & Boards Ltd.
Viyellatex Group,Viyellatex
MAT BRAKE INDIA PVT. LTD,MAT Brakes
Sansera Engg Pvt Ltd,Sansera Engineering
Rediant exports,Radiant Export
Rane nsk steering system pvt ltd bawal hariyana,rane nsk steering systems
EXL SERVICES PVT. LTD,EXL Service
Retired from Chennai Port Trust,Chennai Port Trust
Ericsson ind.pvt.ltd jaipur,Ericsson
NURTURE SOFTWARE SOLUTIONS P LTD,Nurture Software Solutions
Ohsung Electronics,ohsung electronics india pvt.ltd
Welkins converges Pvt Ltd.,Welkin Convergence
Kalpakaaru Project Pvt. Ltd.,Kalpakaaru Projects
Fern An Ecotel,Fern An Ecotel Hotel
GDN enerprise pvt ltd,GD ENTERPRISES
Minda kosae alluminiam Pvt. Ltd. Bawal,minda kosei aluminum wheel
Meenakshi Polymer pvt ltd (PDC DEVISION),Meenakshi Polymers
Reliance Retail Trends,Reliance Trends
Apollo Spectra Hospital,Apollo Spectra Hospitals
Total Training Innovations P.Ltd,total training innovations
Reliance communication ltd,Reliance Communications
Goldstone Cement,goldstone cements ltd
Piaggo vehicles dealership at vapi,Piaggio Vehicles
CMR College Of Engineering ,BRCM College of Engineering & Technology
"ENVIRO-TECH, Aurangabad",Envirotech Systems
Rothe Erde IndiaPvt Ltd,Rothe Erde India Pvt. Ltd
AA Trailers (XION Automotive),AA TRAILER
htc samrt phon sales,HTC
Afras Trading Cont co,Afras Trading & Contracting
TMI Network for Birla Sunlife Insurance Bihar,TMI Network
IIM Lucknow Noida Campus,IIM Lucknow
Evelyn learning ,Evelyn Learning Systems
last NIIT,NIIT
SHAKTIPUMPS(I)LTD,Shakti Pumps
Web Tel India,Webtelindia
"Ranbaxy Lab. Ltd , TCE India",Ranbaxy Laboratories Limited
ITC LTD FOOD DIVISION,ITC
sunstar precison forge ltd.,sunstar precision forge ltd
"works in LAFARGE INDIA PVT.LTD. BHAWLIYA ,GREEN FIELD PROJECT CHITTORGARH",Lafarge
"INDUSIND BANK , HOUSING LOAN DEPARTMENT",IndusInd Bank
Tata Motor Finance ltd,Tata Motors Finance
Franchisee (Nebula) in Wipro InfoTech,Wipro Infotech
"Worked in remi group Navi Mumbai ,US embassy new delhi, And Other",The Remi Group
Groupe Seb india p Ltd,Groupe Seb
ORCHID CHEMICALS AND PHARMACEUTICALS,Orchid Chemicals & Pharmaceuticals
Aristo Pharamceuticals,Aristo Pharmaceuticals
MXC SOLUTION INDIA PVT LTD,MXC Solutions India
motherson automative engg and technology ,Motherson Automotive Technologies and Engineering
"Jet Airways , emirates",Jet Airways
Hindustan Coca Cola Beverages Pvt Ltd. temp,hindustan coca cola beverages
lighthouse infosystem nagpur,Lighthouse Info Systems Pvt. Ltd.
KIA MOTORS Saudi Arabia,KIA MOTORS
Macleods pharmaceutical ltd.,Macleods Pharmaceuticals
NTT Data Global,NTT DATA
big shoe bazaar indialtd,Bigshoebazaar.com
Raymond Uco Pvt Ltd,raymond uco denim
Pratap Technocrats for Reliance jio,Pratap Technocrats
4G JIO Reliance LTD.,Reliance Jio Infocomm
Lupin Ltd OTC,Lupin
IDC Technologies Indai pvt Ltd.,IDC Technologies
Laxmi Components pvt ltd,lakshmi components
G4S Secure Solution  India  Pvt. Ltd.,G4S Secure Solutions
ITC Limited -Foods business division,ITC
Reliance Jio  Infocom  Ltd.,Reliance Jio Infocomm
ntpc bhar,NTPC
"Bhagyalaxmi Rolling Mill Pvt.Ltd,Jalna",Bhagyalaxmi rolling mill
Blue Bells Model  School,Blue Bells Model Sr Sec School
MS PREMIER INDOPLAST (P) LTD,premier indoplast
FEDERAL MOGUL GOETZE IND LIMITED,Federal mogul goetze
Sundaram Business Servicess,Sundaram Business Services
Esvee Pricison component l.t.d,Esvee Precision Components
Astral adhesive pvt ltd,Astral Adhesives
future netwings solution pvt. ltd.,Future Netwings Solutions
Real Ispat ,Real Ispat & Power Ltd.
Afras trading and contracting company,Afras Trading & Contracting
AT&T communications service India Pvt Ltd,AT&T Communication Services
Bank of New York Mellon India Ltd,The Bank of New York Mellon
Arcelormitttal,ArcelorMittal
Tata motors chinhat Lucknow ,Tata Motors
Oswal pumps limited in Karnal ,oswal pumps
divis labs,divis laboratories pvt lrd
Ajanta Pharma Aurangabd,Ajanta Pharma
2 years 10 months working with FIS Global Business Solutions India Pvt. Ltd in UK based O2 chat proc,fis global business solutions
"Kothari Petrochemicals Limited, Manali,Chennai.",Kothari Petrochemicals
Accenture Solution Pvt.Ltd,ACCENTURE SOLUTIONS
Adance Polymers  New Delhi,Advance Polymers
Jumoking Foods Pvt. Ltd.,Jumbo King Foods Pvt. Ltd.
"ABV Rock Group Ltd. Riyadh, Saudi Arabia,",ABV Rock Group
WARTSILA SINGAPORE,Wartsila
kalpratu hospital,Kalpataru Hospital
Almeer Saudi Technical Services Co.W.L.L.,AlMeer Saudi Technical Services
NTH Hi-tech India P. Ltd.,nth hitech india pvt. ltd
Schmid Telecom Ind Pvt Ltd,Schmid Telecom
svg express,SVG Express Services
Daikin cooling solution,Daikin
Smartbrains Engginers and Technologies Pvt Ltd,smart brains engineers and technologist private limited
HCLINFOSYSTEM (UIDAI RO DELHI),HCL Infosystems
"Garg Hospital, AGCR ENCLAVE, DELHI",Garg Hospital
"Glass Equipment India Ltd,HNG",glass equipment india ltd
MEDIKONDA (P) LTD,Medikonda Constructions
Sarthak education trust,Sarthak Educational Trust
Reliance 4G,Reliance Jio Infocomm
bajaj steel industries nagpur,Bajaj Steel Industries
HCL Technologies LTD,HCL Technologies
